iter	Logloss
0	0.4280354872
1	0.2430867173
2	0.1339292244
3	0.0910848979
4	0.05485211582
5	0.03361663743
6	0.02133558224
7	0.01457365342
8	0.01012438482
9	0.007439483787
10	0.005218580881
11	0.003934539042
12	0.002959425605
13	0.00226337291
14	0.001806469543
15	0.00145728214
16	0.001188580324
17	0.0009871196319
18	0.000835012197
19	0.0007340753624
20	0.0006600452723
21	0.0005781256577
22	0.0005095486154
23	0.0004663364966
24	0.00041793462
25	0.00041793462
26	0.0003793285463
27	0.0003793285463
28	0.000379504761
29	0.0003792160135
30	0.0003793615977
31	0.0003793447025
32	0.0003793447025
33	0.0003793447025
34	0.0003794559356
35	0.0003794559356
36	0.0003794559356
37	0.0003794559356
38	0.0003794559356
39	0.0003793951587
40	0.0003442317311
41	0.0003442317311
42	0.0003442738035
43	0.0003443766782
44	0.0003443766782
45	0.0003442121092
46	0.0003441524281
47	0.0003442768869
48	0.0003442988277
49	0.0003440293454
50	0.0003441432798
51	0.0003441487331
52	0.0003441610923
53	0.0003442093571
54	0.000344151154
55	0.0003440985317
56	0.0003440504963
57	0.0003440504963
58	0.0003440417556
59	0.0003440417556
60	0.0003440417556
61	0.0003440417556
62	0.0003441511795
63	0.0003440339833
64	0.0003440339833
65	0.0003440339833
66	0.0003440339833
67	0.0003440339833
68	0.000344051745
69	0.0003440151259
70	0.000343940308
71	0.000343903638
72	0.000343810141
73	0.0003438381723
74	0.0003438381723
75	0.0003438381723
76	0.0003438381723
77	0.0003438323622
78	0.0003438323622
79	0.0003438896988
80	0.0003438519331
81	0.000343839268
82	0.000343839268
83	0.0003437888373
84	0.0003438516018
85	0.0003438516018
86	0.0003439542217
87	0.0003437561681
88	0.0003437484213
89	0.0003437377439
90	0.0003437228619
91	0.0003437228619
92	0.0003437228619
93	0.0003436930213
94	0.000343606787
95	0.0003437081837
96	0.0003436684048
97	0.0003436200636
98	0.0003436200636
99	0.0003436200636
100	0.0003437158541
101	0.0003436704944
102	0.0003436704944
103	0.0003436486555
104	0.0003436486555
105	0.0003436486555
106	0.0003436486555
